date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:27:14	196/196	---M--	302	error ('Found')	text/html		http://wpkixx.com/robots.txt		(from )
04:27:15	131127/131127	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2003:20:32%20GMT	http://wpkixx.com/html/pitnik/newsfeed.html	D:/Website%20Template/Pitnik/pitnik/wpkixx.com/html/pitnik/newsfeed.html	(from )
04:27:15	1729/1729	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Aug%202019%2018:12:44%20GMT	http://wpkixx.com/html/pitnik/images/fav.png	D:/Website%20Template/Pitnik/pitnik/wpkixx.com/html/pitnik/images/fav.png	(from http://wpkixx.com/html/pitnik/newsfeed.html)
04:27:18	26687/26687	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Nov%202019%2004:30:44%20GMT	http://wpkixx.com/html/pitnik/css/weather-icons.min.css	D:/Website%20Template/Pitnik/pitnik/wpkixx.com/html/pitnik/css/weather-icons.min.css	(from http://wpkixx.com/html/pitnik/newsfeed.html)
04:27:18	563740/563740	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2017:10:47%20GMT	http://wpkixx.com/html/pitnik/css/main.min.css	D:/Website%20Template/Pitnik/pitnik/wpkixx.com/html/pitnik/css/main.min.css	(from http://wpkixx.com/html/pitnik/newsfeed.html)
04:27:19	367690/367690	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20Dec%202020%2015:44:14%20GMT	http://wpkixx.com/html/pitnik/css/style.css	D:/Website%20Template/Pitnik/pitnik/wpkixx.com/html/pitnik/css/style.css	(from http://wpkixx.com/html/pitnik/newsfeed.html)
04:27:19	11513/11513	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Jun%202020%2015:53:26%20GMT	http://wpkixx.com/html/pitnik/css/color.css	D:/Website%20Template/Pitnik/pitnik/wpkixx.com/html/pitnik/css/color.css	(from http://wpkixx.com/html/pitnik/newsfeed.html)
04:27:20	50470/50470	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2019:45:04%20GMT	http://wpkixx.com/html/pitnik/css/responsive.css	D:/Website%20Template/Pitnik/pitnik/wpkixx.com/html/pitnik/css/responsive.css	(from http://wpkixx.com/html/pitnik/newsfeed.html)
04:27:20	5137/5137	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202019%2019:34:42%20GMT	http://wpkixx.com/html/pitnik/images/logo2.png	D:/Website%20Template/Pitnik/pitnik/wpkixx.com/html/pitnik/images/logo2.png	(from http://wpkixx.com/html/pitnik/newsfeed.html)
04:27:21	146104/146104	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Sep%202020%2018:38:14%20GMT	http://wpkixx.com/html/pitnik/index.html	D:/Website%20Template/Pitnik/pitnik/wpkixx.com/html/pitnik/index.html	(from http://wpkixx.com/html/pitnik/newsfeed.html)
